model,precision,recall,f1-score,weighted-precision,weighted-recall,weighted-f1-score
sgd,0.6215306100738751,0.526980495075611,0.554694296204455,0.703677330714488,0.719,0.7009001867054633
GigaChat-Zeroshot,0.5744585594483911,0.37968700467701966,0.41853238628423856,0.7027584205244223,0.492,0.5442652305380488
GigaChat-Pro-Zeroshot,0.5738703253113371,0.5371621257444686,0.5058038498709768,0.7546706181509415,0.556,0.6146105373033701
GigaChat-Zeroshot-Title,0.40910222403591107,0.4417534220165799,0.3833841994566285,0.5743060654288241,0.444,0.4606898387083263
RuBERTMLPText-FT,0.6645884347229742,0.6128249875521214,0.6182035702677647,0.769076694465635,0.785,0.7671026870179722
rubert-tiny2-lin,0.5951029273544588,0.4871508819519431,0.4996546374413426,0.6805788436851187,0.685,0.6651047480072806
rubert-base-cased-lin,0.6767200371773818,0.6280052389389785,0.644076498791567,0.7598667034129798,0.755,0.751628190854424
ruBert-large-lin,0.7350664472372728,0.6725192591515705,0.6876389796493287,0.7925804073142799,0.788,0.7839172841577873
rubert-tiny2-mlp,0.5757572271424979,0.4038930287218396,0.41426521046604026,0.6572107202917761,0.675,0.6380526947675809
rubert-base-cased-mlp,0.6835234327887771,0.6377314729075138,0.6456951520405165,0.7809998978299321,0.78,0.7747495419260177
ruBert-large-mlp,0.7236244487953952,0.6512653801730376,0.6755990443676377,0.7844197837966204,0.787,0.7804737721327599
